capsi,abrangencia,endereco,bairro,cidade,uf,contato,ramais,contato2,email,isFulltime,alcoolDrogas,transtornoGrave,criancaAdolescente,observacao
CAPSi Sobradinho,Fercal,"Quadra 4, Área Especial, Lote 6
",Sobradinho I,Brasília,DF,2017-1145,1838,,capsisobradinho@gmail.com,FALSE,TRUE,TRUE,TRUE,
CAPSi Sobradinho,Lago Oeste,"Quadra 4, Área Especial, Lote 6
",Sobradinho I,Brasília,DF,2017-1145,1838,,capsisobradinho@gmail.com,FALSE,TRUE,TRUE,TRUE,
"CAPS I Brazlândia","Brazlândia","Quadra 01, AE 2, Setor Veredas ",Brazlândia,Brasília,DF,2017-1300,3978,,"capsbrz@gmail.com",FALSE,TRUE,TRUE,TRUE,
CAPS II Paranoá,Paranoá,"Q. 02, Conj. K, AE 1, Setor Hospitalar do Paranoá ",Paranoá ,Brasília,DF,2017-1231 ,2250 e 2251,,caps2.paranoa@saude.df.gov.br ,FALSE,FALSE,FALSE,FALSE,
CAPS II Paranoá,Paranoá Parque,"Q. 02, Conj. K, AE 1, Setor Hospitalar do Paranoá",Paranoá ,Brasília,DF,2017-1231,2250 e 2251,,caps2.paranoa@saude.df.gov.br ,FALSE,FALSE,FALSE,FALSE,
CAPS II Paranoá,Itapoã I e II,"Q. 02, Conj. K, AE 1, Setor Hospitalar do Paranoá ",Paranoá ,Brasília,DF,2017-1231,2250 e 2251,,caps2.paranoa@saude.df.gov.br ,FALSE,FALSE,FALSE,FALSE,
CAPS II Paranoá,Condomínios do Jardim Botânico,"Q. 02, Conj. K, AE 1, Setor Hospitalar do Paranoá ",Paranoá ,Brasília,DF,2017-1231,2250 e 2251,,caps2.paranoa@saude.df.gov.br ,FALSE,FALSE,FALSE,FALSE,
CAPS II Paranoá,Condomínios do Altiplano Leste,"Q. 02, Conj. K, AE 1, Setor Hospitalar do Paranoá ",Paranoá ,Brasília,DF,2017-1231,2250 e 2251,,caps2.paranoa@saude.df.gov.br ,FALSE,FALSE,FALSE,FALSE,
CAPS II Paranoá,Setor de Mansões Dom Bosco,"Q. 02, Conj. K, AE 1, Setor Hospitalar do Paranoá ",Paranoá ,Brasília,DF,2017-1231,2250 e 2251,,caps2.paranoa@saude.df.gov.br ,FALSE,FALSE,FALSE,FALSE,
CAPS II Paranoá,Mangueiral,"Q. 02, Conj. K, AE 1, Setor Hospitalar do Paranoá ",Paranoá ,Brasília,DF,2017-1231,2250 e 2251,,caps2.paranoa@saude.df.gov.br ,FALSE,FALSE,FALSE,FALSE,
CAPS II Paranoá,São Sebastião,"Q. 02, Conj. K, AE 1, Setor Hospitalar do Paranoá ",Paranoá ,Brasília,DF,2017-1231,2250 e 2251,,caps2.paranoa@saude.df.gov.br ,FALSE,FALSE,FALSE,FALSE,
CAPS II Planaltina,Planaltina,"Via W/L nº 4 Setor Hospitalar Oeste, AE ",Planaltina,Brasília,DF,2017-1350,1267,,capsplanaltina@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Planaltina,Sobradinho I e II,"Via W/L nº 4 Setor Hospitalar Oeste, AE ",Planaltina,Brasília,DF,2017-1350,1267,,capsplanaltina@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Planaltina,Fercal,"Via W/L nº 4 Setor Hospitalar Oeste, AE ",Planaltina,Brasília,DF,2017-1350,1267,,capsplanaltina@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Brasília,Asa Norte,"SCRLN 905 SAP 1 (antiga UBS 11) 
",Asa Norte,Brasília,DF,2017-1900,7700,,caps2brasilia@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Brasília,Asa Sul,SCRLN 905 SAP 1 (antiga UBS 11) ,Asa Norte,Brasília,DF,2017-1900,7700,,caps2brasilia@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Brasília,Lago Norte,"SCRLN 905 SAP 1 (antiga UBS 11)
",Asa Norte,Brasília,DF,2017-1900,7700,,caps2brasilia@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Brasília,Lago Sul,"SCRLN 905 SAP 1 (antiga UBS 11) 
",Asa Norte,Brasília,DF,2017-1900,7700,,caps2brasilia@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Brasília,Varjão,"SCRLN 905 SAP 1 (antiga UBS 11) 
",Asa Norte,Brasília,DF,2017-1900,7700,,caps2brasilia@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Brasília,Sudoeste,"SCRLN 905 SAP 1 (antiga UBS 11) 
",Asa Norte,Brasília,DF,2017-1900,7700,,caps2brasilia@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Brasília,Octogonal,"SCRLN 905 SAP 1 (antiga UBS 11)
",Asa Norte,Brasília,DF,2017-1900,7700,,caps2brasilia@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Brasília,Cruzeiro,"SCRLN 905 SAP 1 (antiga UBS 11) 
",Asa Norte,Brasília,DF,2017-1900,7700,,caps2brasilia@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Taguatinga,Taguatinga,"QNA 39, Área Especial 19 ",Taguatinga Norte,Brasília,DF,2017-1700,4271,99415-1249,caps2.hrt@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Taguatinga,Vicente Pires,"QNA 39, Área Especial 19 ",Taguatinga Norte,Brasília,DF,2017-1700,4271,99415-1249,caps2.hrt@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Taguatinga,Águas Claras,"QNA 39, Área Especial 19",Taguatinga Norte,Brasília,DF,2017-1700,4271,99415-1249,caps2.hrt@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Taguatinga,Areal,"QNA 39, Área Especial 19 ",Taguatinga Norte,Brasília,DF,2017-1700,4271,99415-1249,caps2.hrt@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Taguatinga,Arniqueiras,"QNA 39, Área Especial 19",Taguatinga Norte,Brasília,DF,2017-1700,4271,99415-1249,caps2.hrt@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Taguatinga,Ceilândia,"QNA 39, Área Especial 19 ",Taguatinga Norte,Brasília,DF,2017-1700,4271,99415-1249,caps2.hrt@gmail.com,FALSE,FALSE,FALSE,FALSE,"(todas as, com exceção da QNM e QNN)"
CAPS II Riacho Fundo,Estrutural,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n ",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Riacho Fundo,Candangolândia,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n ",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Riacho Fundo,Guará I e II,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Riacho Fundo,Núcleo Bandeirante,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n ",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Riacho Fundo,Park Way,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n ",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Riacho Fundo,Riacho Fundo I e II,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n ",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Riacho Fundo,Vargem Bonita,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Riacho Fundo,Gama,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
CAPS II Riacho Fundo,Santa Maria,"EPNB, KM 2, Granja do Riacho Fundo, AE, s/n",Riacho Fundo,Brasília,DF,2017-1145,"8094, 8093 e 8096",,g.capsism@gmail.com,FALSE,FALSE,FALSE,FALSE,
"CAPS III Samambaia",Recanto das Emas,"Quadra 302, Conjunto 5, Lote 1, Centro Urbano ",Samambaia,Brasília,DF,"98549-5372",,,caps.samambaia@gmail .com,TRUE,FALSE,TRUE,FALSE,
"CAPS III Samambaia",Samambaia,"Quadra 302, Conjunto 5, Lote 1, Centro Urbano ",Samambaia,Brasília,DF,"98549-5372",,,caps.samambaia@gmail .com,TRUE,FALSE,TRUE,FALSE,
"CAPS III Samambaia",Ceilândia,"Quadra 302, Conjunto 5, Lote 1, Centro Urbano ",Samambaia,Brasília,DF,"98549-5372",,,caps.samambaia@gmail .com,TRUE,FALSE,TRUE,FALSE,QNN/QNM de Ceilândia
CAPS AD II Guará,Guará I e II,"QE 23, Área Especial S/N, Subsolo do Centro de Saúde 02 ",Guará II,Brasília,DF,2017- 1145,3781 e 3782,,capsadguara@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Guará,Estrutural,"QE 23, Área Especial S/N, Subsolo do Centro de Saúde 02 ",Guará II,Brasília,DF,2017- 1145,3781 e 3782,,capsadguara@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Guará,Riacho Fundo I e II,"QE 23, Área Especial S/N, Subsolo do Centro de Saúde 02 ",Guará II,Brasília,DF,2017- 1145,3781 e 3782,,capsadguara@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Guará,Candangolândia,"QE 23, Área Especial S/N, Subsolo do Centro de Saúde 02 ",Guará II,Brasília,DF,2017- 1145,3781 e 3782,,capsadguara@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Guará,Núcleo Bandeirante,"QE 23, Área Especial S/N, Subsolo do Centro de Saúde 02 ",Guará II,Brasília,DF,2017- 1145,3781 e 3782,,capsadguara@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Guará,Park Way,"QE 23, Área Especial S/N, Subsolo do Centro de Saúde 02 ",Guará II,Brasília,DF,2017- 1145,3781 e 3782,,capsadguara@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Santa Maria,Gama,"Q. 312, Conj. H, Casa 12 ",Santa Maria Norte,Brasília,DF,2017-1145,5640 e 5641,,capssantamaria@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Santa Maria,Santa Maria,"Q. 312, Conj. H, Casa 12",Santa Maria Norte,Brasília,DF,2017-1145,5640 e 5641,,capssantamaria@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Sobradinho,"Planaltina","AR 17, chácara 14 (antigo Centro de Saúde nº 3) ",Sobradinho II,Brasília,DF,99961-0924,,,capsadsobradinho2@gmail.com,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Sobradinho,Sobradinho I e II,"AR 17, chácara 14 (antigo Centro de Saúde nº 3) ",Sobradinho II,Brasília,DF,99961-0924,,,capsadsobradinho2@gmail.com,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Sobradinho,Fercal,"AR 17, chácara 14 (antigo Centro de Saúde nº 3) ",Sobradinho II,Brasília,DF,99961-0924,,,capsadsobradinho2@gmail.com,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Itapoã,Paranoá,"Anexo II, Complexo Administrativo do Itapoã, Q. 378, Conj. A, AE 4, Lago Oeste ",Itapoã,Brasília,DF,2017-1215,2252,,capsaditapoa@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,(áreas urbana e rural)
CAPS AD II Itapoã,Paranoá Parque,"Anexo II, Complexo Administrativo do Itapoã, Q. 378, Conj. A, AE 4, Lago Oeste ",Itapoã,Brasília,DF,2017-1215,2252,,capsaditapoa@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Itapoã,Itapoã,"Anexo II, Complexo Administrativo do Itapoã, Q. 378, Conj. A, AE 4, Lago Oeste ",Itapoã,Brasília,DF,2017-1215,2252,,capsaditapoa@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Itapoã,São Sebastião,"Anexo II, Complexo Administrativo do Itapoã, Q. 378, Conj. A, AE 4, Lago Oeste ",Itapoã,Brasília,DF,2017-1215,2252,,capsaditapoa@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Itapoã,Jardim Botânico,"Anexo II, Complexo Administrativo do Itapoã, Q. 378, Conj. A, AE 4, Lago Oeste",Itapoã,Brasília,DF,2017-1215,2252,,capsaditapoa@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD II Itapoã,Jardim Mangueiral,"Anexo II, Complexo Administrativo do Itapoã, Q. 378, Conj. A, AE 4, Lago Oeste ",Itapoã,Brasília,DF,2017-1215,2252,,capsaditapoa@yahoo.com.br,FALSE,TRUE,FALSE,FALSE,
CAPS AD III Ceilândia,Ceilândia,"QNN 01, Conj. A, Lote 45/47, Av. Leste ",Ceilândia Norte/DF,Brasília,DF,2017-2000,4705/4706/4708,,capsadcei@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Samambaia,Samambaia,"QS 107, Conj. 8, Lotes 3, 4 e 5 ",Samambaia/DF,Brasília,DF,2017-1700,3349,,capsadsamambaia@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Samambaia,Taguatinga,"QS 107, Conj. 8, Lotes 3, 4 e 5",Samambaia/DF,Brasília,DF,2017-1700,3349,,capsadsamambaia@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Samambaia,Recanto das Emas,"QS 107, Conj. 8, Lotes 3, 4 e 5 ",Samambaia/DF,Brasília,DF,2017-1700,3349,,capsadsamambaia@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Samambaia,Águas Claras,"QS 107, Conj. 8, Lotes 3, 4 e 5",Samambaia/DF,Brasília,DF,2017-1700,3349,,capsadsamambaia@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Samambaia,Areal,"QS 107, Conj. 8, Lotes 3, 4 e 5",Samambaia/DF,Brasília,DF,2017-1700,3349,,capsadsamambaia@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Samambaia,Arniqueiras,"QS 107, Conj. 8, Lotes 3, 4 e 5 ",Samambaia/DF,Brasília,DF,2017-1700,3349,,capsadsamambaia@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Samambaia,Vicente Pires,"QS 107, Conj. 8, Lotes 3, 4 e 5",Samambaia/DF,Brasília,DF,2017-1700,3349,,capsadsamambaia@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Asa Norte,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Asa Sul,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Lago Norte,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Lago Sul,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Cruzeiro,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Octogonal,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Vila Planalto,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Vila Telebrasília,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Sudoeste,"SCS, Q. 5, Bloco C, Loja 73
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
CAPS AD III Brasília,Varjão,"SCS, Q. 5, Bloco C, Loja 73 
", Asa Sul,Brasília,DF,2017-1900,1169,92001-0634,capsad3candango.ses@gmail.com,TRUE,TRUE,FALSE,FALSE,
